name,image,gender,age,height,description
A. K. Hangal,1.jpg,Male,98 years,1.63 m,"Avtar Kishan Hangal (1 February 1914 – 26 August 2012), popularly known as A. K. Hangal, was an Indian freedom fighter from 1929–1947 and also stage actor from 1936–1965 and later became a character actor in Hindi language films from 1966 to 2005. His most notable roles are as Ram Shastri in Aaina (1977), as the Inder Sen in Shaukeen, as Bipinlal Pandey in Namak Haraam, as Imaam Saa'b in Sholay, as Anokhelal in Manzil and the antagonist in Prem Bandhan and the 16 films he did with Rajesh Khanna. He has acted in around 225 Hindi films in a career spanning from 1966 to 2005."
Aadhi Pinisetty,2.jpg,Male,37 years,1.72 m,"Aadhi Pinisetty is an Indian film actor who appears in Tamil and Telugu films. He debuted in 2006 with the Telugu film Oka `V` Chitram, and got his big break with 2009 film Eeram, produced by Director S. Shankar. His father, Ravi Raja Pinisetty, has directed 56 films."
Aadi (actor),3.jpg,Male,30 years,1.68 m,"Aadi Saikumar (born Aditya Pudipeddi) is an Indian film actor, and cricketer, known for working exclusively in Telugu cinema. Born to veteran actor Sai Kumar Pudipeddi, Aadi made his film debut in 2011 with the film Prema Kavali under the direction of K. Vijaya Bhaskar. The film garnered critical acclaim for Aadi and placed him among the noted young actors. He won the Filmfare Award for Best Male Debut – South for 2011."
Aamir Khan,4.jpg,Male,55 years,1.63 m,"Mohammed Aamir Hussain Khan (pronounced ; born 14 March 1965) is an Indian actor, director, filmmaker and television talk-show host. Through his career spanning over thirty years in Hindi films, Khan has established himself as one of the most popular and influential actors of Indian cinema. He has a large global following, especially in India and China, and has been described by Newsweek as ""the biggest movie star"" in the world. Khan is the recipient of numerous awards, including nine Filmfare Awards, four National Film Awards, and an AACTA Award, as well as an Academy Award nomination. He was honoured by the Government of India with the Padma Shri in 2003 and the Padma Bhushan in 2010, and received an honorary title from the Government of China in 2017. For years, he has been regularly listed one amongthe 500 Most Influential Muslims of the world."
Ashish Chaudhary,5.jpg,Male,41 years,1.78 m,"Ashish Chaudhary (born 21 July 1978) is a  Bollywood actor. Then he hosted a program for Disney. He has acted in many music videos as well as advertisements. Afterwards he shifted to television shows and acted in  Hum Pardesi Ho Gaye, Kya Yehi Pyaar Hai. In 2003, he acted in a movie called Qayamat along with Ajay Devgan and Neha Dhupia. Ashish is better known for his role as Boman in Dhamaal. In 2013, he returned to television and acted in a series named Ek Mutthi Aasmaan."
Abbas (actor),6.jpg,Male,44 years,Abbas Height is 175 Cm and 5' 8” inches,"Abbas (born 21 May 1975 as Mirza Abbas Ali) is an Indian Tamil film actor and model, who has predominantly appeared in Tamil films, and a few films in Telugu, Malayalam, Hindi and Kannada. After making his debut with Kadhir's Kadhal Desam (1996), Abbas enjoyed success as the second lead actor in Tamil films from 1999 to 2009."
Abhay Deol,7.jpg,Male,44 years,1.8 m,"Abhay Deol (also known as Abhay Singh Deol, born 15 March 1976) is an Indian actor and producer, who works predominantly in Hindi language films. Born in the influential Deol family of the Hindi cinema, he began acting at a young age in theater productions at his school. Deol made his on-screen debut in 2005 with Imtiaz Ali's romantic comedy Socha Na Tha."
Abhijith,8.jpg,Male,56 years,1.75 m,"Abhijith (Kannada: ಅಭಿಜಿತ್) (born 30 July 1963) is an Indian actor, singer, producer and director working in Kannada films. Starting his career as an actor in the late 1980s, he went on to act in many films through the 1990s and 2000s. He mainly played lead roles and villains in the 1990s and some supporting roles as well."
Abhishek Bachchan,9.jpg,Male,44 years,1.86 m,"Abhishek Bachchan (born 5 February 1976) is an Indian film actor and film producer known for his work in Bollywood. Part of the Bachchan family, he is the son of actors Amitabh Bachchan and Jaya Bachchan."
Abhishek Chatterjee,10.jpg,Male,55 years,1.75 m,"Abhishek Chatterjee (pronounced , Bengali: pronunciation (help·info)) is an Indian actor who is known for his work in Bengali cinema. He made his acting debut alongside veterans such as Sandhya Roy, Prosenjit Chatterjee, Tapas Paul and Utpal Dutt with the Bengali film Pathbhola (1986) directed by Tarun Majumdar."
Ambareesh,11.jpg,Male,66 years,1.73 m,"Malavalli Huchche Gowda Amarnath (29 May 1952 – 24 November 2018), known by his screen name Ambareesh, was an Indian actor, media personality and politician from the State of Karnataka. Alongside Rajkumar and Vishnuvardhan, he is counted in Kannada cinema's ""triumvirate"" as its most celebrated actors."
Abhimanyu Singh,12.jpg,Male,44 years,,"Abhimanyu Singh (born in Bihar) is an Indian film actor who works mainly in Bollywood and Bhojpuri cinema. He completed his graduation from St. Stephen's College, New Delhi."
Abijeet (actor),13.jpg,Male,31 years,1.78 m,"Abijeet (born 11 October 1988) is an Indian film actor. He made his debut as the narrative main lead Srinu in the film Life Is Beautiful, directed by Sekhar Kammula in 2012."
Abir Chatterjee,14.jpg,Male,39 years,1.88 m,Abir Chatterjee (Born 18 November 1980) is an Indian actor who mainly works in Bengali cinema. He is the son of  theater personalities Phalguni Chatterjee and Rumki Chatterjee. He started his career with Bengali television and made his debut in Bengali cinema in 2009 as a lead with Cross Connection.
